user_id,product_id,category,price,old_name,status,amount,base_price,region,priority
8621,713,Toys,1022.04,Sports Monitor v5,Pending,5071.2,1014.24,Midwest,Medium
7024,720,Sports,125.70,Clothing Tool v3,Completed,156.52,78.26,Midwest,High
5226,818,Furniture,1758.51,Appliances System v5,Pending,3421.88,1710.94,West,Medium
,679,Sports,847.74,Furniture System v3,Canceled,3998.85,799.77,South,High
9454,355,Sports,1314.07,Sports Widget v1,Canceled,2601.32,1300.66,North,High
9098,115,Clothing,1960.04,Sports Tool v4,Canceled,5777.31,1925.77,Midwest,Critical
5830,277,Sports,1235.62,Electronics Monitor v1,Pending,6016.4,1203.28,Midwest,Critical
1777,134,Appliances,1439.50,Furniture System v2,Completed,7020.25,1404.05,East,Critical
7978,403,Clothing,1907.58,Toys Monitor v1,Shipped,7457.72,1864.43,North,Critical
9215,263,Appliances,992.09,Appliances Monitor v4,Completed,2920.65,973.55,Midwest,Critical
4129,376,Electronics,261.08,Toys Device v1,Pending,650.73,216.91,South,High
5837,752,Toys,1353.73,Toys Apparel v5,Completed,1314.82,1314.82,North,Critical
7388,214,Furniture,1139.84,Appliances Tool v3,Canceled,4366.04,1091.51,South,High
1127,419,Appliances,1902.27,Toys System v4,Shipped,1860.04,1860.04,East,Low
8375,659,Toys,1615.05,Toys Device v5,Shipped,7896.0,1579.2,North,Medium
9654,847,Electronics,678.07,Electronics Widget v2,Canceled,1308.62,654.31,South,Critical
9932,472,Electronics,465.75,Appliances Apparel v3,Completed,1686.56,421.64,Midwest,Low
5071,815,Electronics,1611.79,Toys Gear v5,Processing,7916.85,1583.37,South,Critical
3107,241,Appliances,1569.06,Electronics Device v5,Processing,1540.53,1540.53,Midwest,High
4794,365,Toys,2032.80,Clothing Apparel v5,Pending,7935.16,1983.79,Midwest,Low
7806,412,Sports,1333.44,Electronics Apparel v1,Pending,5242.52,1310.63,South,High
7420,147,Appliances,1643.39,Toys Widget v5,Canceled,8047.85,1609.57,North,High
8822,177,Electronics,1867.66,Clothing Device v2,Completed,9232.45,1846.49,North,Critical
8143,201,Electronics,194.60,Toys Desk v3,Completed,153.83,153.83,Midwest,High
1263,531,Toys,1098.22,Clothing System v2,Processing,1065.5,1065.5,North,Medium
8650,433,Electronics,1909.00,Electronics Apparel v2,Pending,3753.56,1876.78,East,Medium
7944,161,Appliances,1431.86,Electronics Tool v3,Completed,1382.81,1382.81,North,Critical
9454,151,Furniture,174.65,Furniture Monitor v3,Completed,600.88,150.22,North,Critical
,138,Clothing,1317.35,Clothing Desk v5,Shipped,2580.74,1290.37,West,Medium
6126,135,Sports,293.14,Clothing Tool v3,Shipped,1277.95,255.59,East,Critical
4792,124,Sports,1708.97,Clothing Device v2,Completed,6679.4,1669.85,Midwest,Medium
6626,108,Furniture,1631.30,Electronics Monitor v4,Shipped,3177.86,1588.93,Midwest,Low
8567,313,Toys,895.83,Sports Widget v4,Shipped,4325.55,865.11,North,High
2462,796,Sports,218.70,Clothing Monitor v3,Processing,851.4,170.28,East,Low
4442,237,Toys,1256.90,Sports Tool v1,Completed,3735.36,1245.12,West,Medium
6219,793,Electronics,907.09,Electronics System v1,Pending,2645.55,881.85,Midwest,Critical
5845,597,Toys,1554.69,Sports System v4,Shipped,7705.35,1541.07,Midwest,Medium
