"Customer ID",Total_Sales
CG-12520,1148.78
DV-13045,1119.48
SO-20335,2602.58
BH-11710,6255.34
AA-10480,1782.87
IM-15070,4930.49
HP-14815,1990.31
PK-19075,8158.65
AG-10270,2565.26
ZD-21925,1493.94
KB-16585,2742.76
SF-20065,763.54
EB-13870,2767.22
EH-13945,684.18
TB-21520,4730.62
MA-17560,4280.62
GH-14485,1361.24
SN-20710,3127.97
LC-16930,4481.16
RA-19885,3832.32
ES-14080,4648.52
ON-18715,1567.52
PO-18865,2493.22
LH-16900,2295.32
DP-13000,1034.18
JM-15265,1804.14
TB-21055,1467.89
KM-16720,4909.47
PS-18970,1278.65
BS-11590,2454.93
KD-16270,8282.36
HM-14980,736.28
JE-15745,6400.45
KB-16600,974.22
SC-20770,4492.68
DN-13690,2139.79
JC-16105,858.57
CS-12400,3651.86
PG-18895,1987.15
GM-14455,3078.63
JS-15685,1131.07
KB-16315,1569.45
RB-19705,2067.45
PN-18775,1467.16
KD-16345,1888.96
ER-13855,1245.79
RB-19465,4556.57
GZ-14470,4355.15
LC-16870,2526.19
JM-15250,3145.36
PA-19060,729.41
CV-12805,2370.33
CL-12565,10880.56
RC-19960,850.19
DK-13090,2650.55
GG-14650,2216.00
SC-20725,5226.20
AD-10180,6101.00
PF-19165,2770.00
TS-21610,2801.88
LS-16975,2988.65
DW-13585,1204.85
LC-16885,7396.78
JD-15895,6456.46
SH-19975,2774.26
SG-20080,3406.58
HA-14920,2584.17
MG-17680,2350.20
JE-16165,2697.25
TW-21025,5164.62
SP-20650,1598.51
NK-18490,572.05
DB-13060,4265.30
NP-18670,3896.64
TT-21070,4915.59
EM-13960,933.70
RD-19900,3133.92
MJ-17740,6282.23
BM-11140,11609.91
CS-12130,884.64
JB-15400,1791.62
SJ-20500,1190.37
JK-15640,4752.45
DK-13150,797.83
RM-19675,5967.73
SK-19990,883.41
FM-14290,3736.20
AM-10360,814.01
MP-17470,3206.12
MZ-17515,2564.89
CB-12025,6028.24
VM-21685,2454.87
FH-14365,6683.66
MB-17305,1427.33
BS-11755,2492.35
LC-17140,2605.10
HK-14890,4877.80
LE-16810,1469.45
JH-15985,7954.99
MS-17980,855.12
VW-21775,6112.70
JH-15910,959.48
JB-15925,900.55
DS-13180,2881.80
VD-21670,6283.36
EA-14035,2660.83
DB-13120,2931.71
KL-16645,14071.92
DW-13480,5256.85
LH-17155,1660.31
KC-16540,3908.27
DL-13315,1446.06
DR-12880,6247.20
CC-12670,2269.69
Dl-13600,755.60
SB-20290,8057.89
RC-19825,966.41
AH-10210,4805.35
CB-12535,4123.52
CA-12310,1401.08
KH-16690,5867.85
BB-10990,735.51
AG-10495,2338.68
JO-15280,1911.55
AH-10195,1587.45
NZ-18565,2488.33
KL-16555,4483.77
AS-10225,4249.00
CR-12625,475.90
SH-20395,2180.70
BP-11185,3610.29
TS-21205,5371.11
AG-10525,1448.94
SP-20860,4028.57
NM-18445,6459.34
FA-14230,2984.05
GK-14620,6497.28
DJ-13510,2501.69
PO-18850,7367.34
JL-15850,2725.25
DB-13615,1989.05
AC-10420,891.56
CC-12550,113.84
TD-20995,1434.56
AB-10060,7732.68
JL-15505,3142.74
VB-21745,2005.59
KW-16435,4416.52
JD-16060,695.44
MK-17905,2302.36
GT-14755,226.43
AG-10900,4510.79
MM-18280,775.41
AR-10405,2236.12
RA-19915,4781.35
AS-10285,3212.28
LA-16780,8631.53
DO-13435,1197.31
DK-13225,4125.84
NG-18430,1395.94
MV-18190,1734.58
JG-15115,2358.66
BP-11095,2399.55
VP-21730,993.90
SS-20140,1289.55
AG-10675,3489.06
LF-17185,3930.52
RF-19840,915.66
KH-16510,5952.86
KC-16675,1146.05
CJ-12010,11079.74
PB-19150,1456.95
MP-17965,3983.65
NF-18385,8322.82
SD-20485,5920.24
KH-16630,3918.96
RB-19795,5633.31
MK-18160,1031.60
PO-19180,4893.05
BB-11545,6765.73
TB-21595,1387.57
RB-19360,15117.35
EB-13705,3448.27
SC-20095,14142.34
TN-21040,3130.23
JS-15940,469.16
MH-17785,2203.78
JP-15520,3572.94
JE-15475,1388.69
JG-15805,1507.02
XP-21865,2320.41
EM-14065,228.99
MT-18070,1319.44
SA-20830,4708.52
CW-11905,1136.59
AJ-10960,629.25
SS-20590,418.49
RO-19780,3815.47
MD-17350,3766.40
MY-17380,2242.62
CM-12385,8954.01
LS-17245,1008.14
BN-11515,1459.34
DB-13210,2204.82
MC-17605,2258.20
BD-11605,3288.48
PH-18790,729.65
MG-18145,2890.59
KB-16240,3152.61
JC-15340,67.34
RL-19615,6234.91
AA-10375,1056.39
EP-13915,5478.06
DK-12985,1687.03
BD-11500,4408.30
LM-17065,1346.78
AS-10135,58.82
BD-11320,5672.18
GT-14710,11820.12
AJ-10945,1839.24
OT-18730,3818.62
LP-17080,756.60
CA-12775,3041.58
JF-15490,1082.92
FP-14320,4046.75
EB-13840,4344.51
JF-15415,2371.45
SF-20200,3422.78
TG-21640,2074.67
CS-11950,3027.74
CC-12145,2471.65
DV-13465,3285.98
BD-11725,1526.50
ZC-21910,8021.13
MS-17830,370.34
LR-16915,5142.89
TP-21130,4454.06
CK-12205,3154.83
AS-10240,574.25
AR-10510,264.87
NB-18655,1972.61
GD-14590,1888.08
CK-12595,2372.75
NG-18355,1869.57
CA-12265,2648.29
SF-20965,3306.87
MO-17800,1396.33
AT-10735,3831.87
FM-14380,2523.26
DJ-13420,2012.52
ME-17725,1908.45
JD-16150,8828.04
JL-15835,9403.02
SC-20305,3971.06
CC-12430,2870.05
AR-10825,4523.33
SR-20740,4345.88
CR-12730,1600.55
EH-14125,3013.14
SP-20545,1306.09
TH-21235,1022.21
RP-19390,5142.12
RB-19570,476.79
CD-11980,614.98
DJ-13630,3356.40
GT-14635,9351.20
MC-17845,3805.71
RA-19285,2606.07
NP-18325,5529.62
AB-10165,1113.85
JO-15550,1088.37
JK-15370,2709.62
BN-11470,265.31
DP-13165,1058.62
TH-21550,4229.56
AP-10915,3323.55
RS-19765,3831.93
SV-20365,11420.64
CK-12325,2939.60
RD-19810,1137.61
MR-17545,639.18
SC-20695,2576.40
JF-15355,1911.84
EG-13900,1832.02
DS-13030,1762.21
PO-19195,1056.85
SS-20875,883.21
PB-19105,688.33
RF-19735,2341.30
YC-21895,5454.35
DC-13285,1174.62
CP-12340,5888.30
LH-17020,318.23
CS-12250,2696.80
AJ-10795,4391.49
BV-11245,1523.28
DL-12865,1490.83
BM-11785,1335.87
LT-17110,2936.26
JK-15730,4769.91
