"Order ID",Sales
CA-2016-152156,261.96
CA-2016-152156,731.94
US-2015-108966,957.58
CA-2014-115812,907.15
CA-2014-115812,1706.18
CA-2014-115812,911.42
CA-2016-161389,407.98
CA-2014-105893,665.88
CA-2015-106320,1044.63
US-2015-150630,3083.43
CA-2016-117590,1097.54
CA-2015-117415,532.40
CA-2015-117415,371.17
CA-2016-105816,1029.95
CA-2016-111682,319.41
CA-2014-106376,1113.02
US-2015-134026,831.94
CA-2017-140088,301.96
US-2015-156867,238.90
CA-2015-129476,339.96
CA-2015-110457,787.53
US-2014-152030,600.56
US-2014-134614,617.70
US-2017-107272,243.99
US-2016-125969,238.56
CA-2017-155376,839.43
CA-2015-110744,671.93
CA-2016-114489,384.45
CA-2016-114489,1951.84
CA-2014-104269,457.57
CA-2016-114104,944.93
CA-2014-139892,8159.95
CA-2014-139892,275.93
CA-2014-139892,1740.06
CA-2014-118962,340.14
US-2015-101511,396.80
CA-2014-166191,408.74
CA-2014-158274,503.96
CA-2015-102281,899.14
CA-2015-102281,626.35
CA-2017-108329,444.77
CA-2015-146262,452.45
CA-2015-146262,1188.00
CA-2016-130162,302.38
CA-2015-169397,479.99
CA-2015-163055,622.45
US-2015-145436,389.70
US-2017-100930,620.61
US-2017-100930,258.07
US-2017-100930,617.98
CA-2016-157749,419.68
CA-2014-131926,2001.86
CA-2014-131926,1503.25
CA-2016-154739,321.57
CA-2016-145625,3347.37
CA-2016-146941,361.92
US-2015-159982,647.90
US-2014-106992,3059.98
US-2014-106992,2519.96
CA-2016-125318,328.22
CA-2017-163979,725.84
US-2015-161991,1114.40
CA-2015-130890,1038.84
CA-2015-130883,239.80
CA-2016-112697,254.06
CA-2016-112697,961.48
CA-2016-110772,255.98
CA-2014-111451,300.42
CA-2014-111003,289.20
CA-2016-142902,466.77
CA-2014-164973,3991.98
CA-2014-164973,275.94
CA-2014-164973,360.00
CA-2016-162138,251.52
US-2016-141544,290.90
US-2016-141544,786.74
CA-2015-137946,959.98
CA-2014-129924,698.35
CA-2014-122336,509.97
CA-2016-129714,4355.17
CA-2016-138520,388.70
CA-2017-155698,647.84
CA-2017-144904,488.65
CA-2016-155516,1043.92
US-2014-119137,1023.94
US-2014-119137,479.04
US-2017-134481,1488.42
US-2015-168935,375.46
CA-2015-122756,482.34
US-2014-135972,246.38
US-2014-135972,1799.97
CA-2016-108987,2396.27
CA-2017-117457,1199.98
CA-2017-117457,1004.02
CA-2017-117457,1336.83
CA-2017-142636,307.14
CA-2016-148796,383.80
CA-2017-155705,866.40
CA-2017-149160,287.92
US-2016-123750,408.74
US-2016-123750,291.96
CA-2016-127369,714.30
US-2014-150574,247.80
CA-2016-147375,1007.98
CA-2016-147375,313.49
CA-2016-115756,242.94
CA-2016-166674,263.88
CA-2017-147277,284.36
CA-2017-147277,665.41
US-2016-157945,747.56
CA-2015-109638,899.91
CA-2016-109869,1272.63
US-2015-101399,254.74
CA-2014-144666,340.92
